Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
600271	200803	21	.018156508	159994.44	.054001	.587962	-.23671	0.082887006	0.050309	0.018156508	2
600490	200803	21	.078704456	11721.60	.344115	1.24588	-.20926	0.083107038	0.319487	0.078704456	2
600823	200803	21	.161429997	8151175.0	.251511	.685688	-.08731	0.083600191	0.126652	0.161429997	2
600804	200803	20	.175954364	10895666	.305152	1.18518	-.30929	0.084611401	0.204914	0.175954364	2
000930	200803	21	.101981846	8419309.0	.781961	.770707	-.05825	0.086683482	0.38111	0.101981846	2
600387	200803	21	.078755734	37451.70	.180012	1.29283	-.23990	0.087639563	0.120914	0.078755734	2
600375	200803	21	.073818496	1413608.6	.437895	1.50055	-.26725	0.088077878	0.484834	0.073818496	2
000503	200803	21	.098219296	7190577.6	.404467	1.01440	-.28625	0.088396566	0.405238	0.098219296	2
000709	200803	20	.036330726	36192761	.242134	1.03299	-.26031	0.089997455	0.151332	0.036330726	2
002028	200803	20	.099569110	80688.15	.112714		-.18902	0.091488391	0.095003	0.09956911	2
000061	200803	20	.028783510	9071324.5	.230945	.821717	-.22465	0.095863116	0.145254	0.02878351	2
600410	200803	21	.101635727	5982726.2	.377719		-.29068	0.095893614	0.337952	0.101635727	3
000623	200803	21	.031245295	21202778	.376347	1.43661	-.31771	0.097412608	0.294061	0.031245295	3
002056	200803	20	.056390205	6391549.5	.548837		-.21141	0.097457101	0.564101	0.056390205	3
600266	200803	21	.091273200	132639.00	.449700	.941130	-.19551	0.097633733	0.531319	0.0912732	3
600522	200803	20	.082448010	2835307.4	.281467	.944888	-.21924	0.098894904	0.327116	0.08244801	3
000969	200803	20	.219646378	9414962.3	1.18855	.810076	.212920	0.099052443	0.609075	0.219646378	3
600880	200803	21	.130482858	5484827.4	.213375	.825142	-.21173	0.100052222	0.168753	0.130482858	3
000539	200803	21	.077846332	17906850	.180971	1.02468	-.26091	0.100057059	0.118869	0.077846332	3
600107	200803	21	.173708231	58824.00	1.61650	1.46095	-.07527	0.100204694	0.500348	0.173708231	3
000039	200803	21	.027798005	23763651	.273584	.510449	-.13459	0.104401338	0.152805	0.027798005	3
000988	200803	21	.188423849	34235.50	1.12106	1.15974	-.25698	0.107906263	0.730644	0.188423849	3
600879	200803	21	.090812699	11030155	.337268	.660301	-.27915	0.107922093	0.331429	0.090812699	3
000046	200803	20	.113755613	42614075	.161612	.691968	-.15011	0.110663513	0.132343	0.113755613	3
600770	200803	21	.095042814	78489.00	.566909	1.20425	-.38884	0.112886982	0.367861	0.095042814	3
002093	200803	21	.112304528	50155.95	.388305		-.25604	0.114629526	0.714064	0.112304528	3
000938	200803	21	.117863202	34930.56	1.10665	1.01429	-.34682	0.115104512	0.752578	0.117863202	3
600392	200803	21	.054197400	17930.70	.372374	.933831	-.26790	0.115773894	0.506932	0.0541974	3
000525	200803	21	.102216097	4010217.8	.389096	.953203	-.33903	0.117748901	0.440748	0.102216097	3
600694	200803	21	.103759825	12979427	.086625	.438370	-.08642	0.118835107	0.069471	0.103759825	3
000629	200803	21	.016674836	35001410	.222284	1.02421	-.19850	0.120859092	0.254962	0.016674836	3
002183	200803	21	.121552396	5190118.8	.359170		-.35414	0.123493404	0.57529	0.121552396	3
002138	200803	20	.079355119	19420.40	.355234		-.24709	0.124293321	0.739519	0.079355119	4
600239	200803	21	.222019122	6089328.0	.740945	.726845	.069388	0.125788869	0.299272	0.222019122	4
600120	200803	21	.074820127	4660465.3	.193909	1.62029	-.20858	0.126244302	0.251747	0.074820127	4
600797	200803	18	.104925071	9366261.1	.511341	.864383	-.17538	0.12774492	0.640923	0.104925071	4
000422	200803	19	.116636088	14128948	.275397	1.12345	-.08597	0.131457403	0.223084	0.116636088	4
000685	200803	21	.114201333	3780343.7	.402888	1.38228	-.33187	0.131970551	0.303992	0.114201333	4
600499	200803	21	.085669051	2541256.2	.284441	1.19117	-.25644	0.132274252	0.233884	0.085669051	4
600759	200803	21	.205060547	7677355.2	1.75158	.835036	-.23120	0.132597266	0.552595	0.205060547	4
002092	200803	20	.089013438	77307.84	.235313		-.29590	0.13441221	0.488251	0.089013438	4
600316	200803	19	.072093013	86486.40	.239904	.826602	-.28470	0.135060502	0.167955	0.072093013	4
600100	200803	21	.077886015	21089943	.295520	.902973	-.27176	0.136725676	0.253948	0.077886015	4
600739	200803	21	.039525955	29222017	.396883	1.82857	-.36978	0.148454073	0.31702	0.039525955	4
000790	200803	20	.154521446	3206359.7	.363475	.936148	.008599	0.148663765	0.209866	0.154521446	4
600372	200803	20	.156294250	25215.00	.606751	1.32948	-.33007	0.150891366	0.577328	0.15629425	4
600674	200803	21	.029563114	12744088	.760631	.943370	-.34512	0.153249645	0.565738	0.029563114	4
600325	200803	20	.163838244	15804196	.473100	.607474	.119517	0.155892758	0.20587	0.163838244	4
000839	200803	21	.105426904	22347000	.371257	.815786	-.27247	0.164701935	0.381998	0.105426904	4
000830	200803	21	.091224549	7208547.6	.791115	.866951	-.18074	0.165662947	0.868808	0.091224549	4
000537	200803	21	.087204431	4624712.6	.333076	.893999	-.28070	0.169176464	0.86391	0.087204431	4
002079	200803	20	.200333765	25557.60	.937897		-.20433	0.17653309	2.199858	0.200333765	4
600846	200803	21	.117593306	3022835.4	2.40054	1.09780	-.20541	0.204720017	2.087292	0.117593306	4
600010	200804	21	.053108624	40402690	.164583	.858593	-.02025	0.011589252	0.164583	0.053108624	0
000709	200804	20	.073887879	42833010	.251902	1.00470	.183469	0.016521832	0.251902	0.073887879	0
000039	200804	20	.093814799	20720819	.251823	.520315	-.12805	0.020977627	0.251823	0.093814799	0
600271	200804	20	.100850275	185449.50	.072881	.536281	.159100	0.022550807	0.072881	0.100850275	0
000629	200804	20	.102215188	32407497	.315676	1.04436	-.07411	0.022856011	0.315676	0.102215188	0
600664	200804	21	.119853871	12047453	.144298	1.09267	-.04528	0.023211189	0.357059	0.119853871	0
000623	200804	21	.122364802	26947825	.721752	1.40101	.270957	0.026702189	0.721752	0.122364802	0
000061	200804	20	.121052455	10416517	.315628	.795195	.148291	0.027068152	0.315628	0.121052455	0
600256	200804	21	.155997211	12592531	.309490	.920851	.101515	0.034041382	0.30949	0.155997211	0
600739	200804	20	.159114866	32317380	.500007	1.80892	.105926	0.035579166	0.500007	0.159114866	0
600674	200804	20	.199539485	15745876	1.11607	.945621	.235544	0.044618385	1.116068	0.199539485	0
600839	200804	21	.097637776	13496283	.291352	.756350	.062780	0.050239317	0.303164	0.097637776	0
600827	200804	21	.103985653	4425846.2	.290944	.887591	.065941	0.053018903	0.256267	0.103985653	0
600392	200804	21	.121249968	17946.36	.332362	.916367	.000873	0.0541974	0.372374	0.121249968	0
002056	200804	21	.063169466	58101.26	.546786		-.09097	0.056390205	0.548837	0.063169466	0
000793	200804	20	.079497675	10064981	.140663	.915225	-.04639	0.057904351	0.139941	0.079497675	0
600177	200804	21	.121526142	39321963	.298136	1.17189	.103061	0.059456671	0.159647	0.121526142	0
600206	200804	21	.073244927	22417.00	.336637	.891376	-.09005	0.063104178	0.434077	0.073244927	0
000088	200804	21	.059811013	134833.50	.250576	.674263	-.01813	0.06676271	0.34462	0.059811013	0
600256	200804	21	.034041382	12592531	.309490	.920851	.101515	0.06971545	0.170818	0.034041382	0
600654	200804	21	.068076354	3782766.2	.251702	1.22957	.012121	0.071421175	0.347344	0.068076354	1
600352	200804	21	.093656147	94830.10	.210158	.883070	.038989	0.071433032	0.124893	0.093656147	1
600316	200804	20	.164409947	84389.76	.378527	.829183	-.01789	0.072093013	0.239904	0.164409947	1
600831	200804	21	.137659637	4605026.5	.298596	.850067	.212953	0.073091506	0.180275	0.137659637	1
600375	200804	20	.156035028	1306744.3	.457485	1.51197	-.07560	0.073818496	0.437895	0.156035028	1
600120	200804	21	.103494821	4518932.7	.189575	1.61112	-.03037	0.074820127	0.193909	0.103494821	1
002129	200804	21	.104617645	5215103.8	.219583		.005594	0.074840572	0.297194	0.104617645	1
000629	200804	20	.022856011	32407497	.315676	1.04436	-.07411	0.0764137	0.222284	0.022856011	1
000539	200804	21	.086356582	15155018	.209675	1.03631	-.15368	0.077846332	0.180971	0.086356582	1
600100	200804	21	.102699678	18965233	.398772	.903357	-.10075	0.077886015	0.29552	0.102699678	1
600838	200804	21	.071538002	2541591.8	.260663	1.08851	-.11080	0.078578364	0.411059	0.071538002	1
600490	200804	21	.100962543	9213.60	.269088	1.27992	-.21396	0.078704456	0.344115	0.100962543	1
600387	200804	20	.076175527	35313.30	.154102	1.29274	-.05710	0.078755734	0.180012	0.076175527	1
600811	200804	21	.104929840	13451974	.356334	1.46441	.038779	0.078758422	0.27408	0.10492984	1
002138	200804	21	.070849505	17916.40	.395618		-.07744	0.079355119	0.355234	0.070849505	1
000050	200804	21	.116079989	42110.75	.328250	.852753	.066925	0.080775412	0.390979	0.116079989	1
000616	200804	20	.104013130	5867011.0	.291973	1.00739	-.13337	0.080933655	0.291816	0.10401313	1
000823	200804	20	.048392634	3373739.8	.285437	.890298	-.11034	0.08106432	0.564572	0.048392634	1
600668	200804	21	.078996634	1981922.9	.298665	1.46044	-.07692	0.081592486	0.598858	0.078996634	1
600522	200804	21	.089644635	2981541.0	.343123	.929451	.051576	0.08244801	0.281467	0.089644635	1
000989	200804	19	.069263751	3315818.7	.357650	1.03955	-.02338	0.082737534	0.628724	0.069263751	1
600271	200804	20	.022550807	185449.50	.072881	.536281	.159100	0.08320357	0.054001	0.022550807	2
600499	200804	21	.119195495	2890371.6	.367881	1.18091	.118096	0.085669051	0.284441	0.119195495	2
600321	200804	20	.078355046	1908628.8	.296905	.952898	-.02897	0.086003854	0.494946	0.078355046	2
000926	200804	20	.078220149	4989662.7	.355243	.802622	-.20635	0.086976407	0.329492	0.078220149	2
000537	200804	21	.111194472	3999197.1	.350181	.914455	-.13526	0.087204431	0.333076	0.111194472	2
002092	200804	20	.092861394	7779101.4	.386977		.006250	0.089013438	0.235313	0.092861394	2
000027	200804	20	.140743402	27993716	.372123	.681320	-.10744	0.090186869	0.232066	0.140743402	2
600879	200804	21	.093320759	10570565	.399935	.639406	-.04167	0.090812699	0.337268	0.093320759	2
000830	200804	20	.076693836	7993222.6	.572591	.861601	.108853	0.091224549	0.791115	0.076693836	2
600266	200804	21	.164910153	130416.00	.552696	.921733	-.01676	0.0912732	0.4497	0.164910153	2
000540	200804	21	.119531588	2954375.7	.451360	1.26695	-.12148	0.091573344	0.546972	0.119531588	2
002055	200804	20	.100684810	1184046.2	.166567		-.11415	0.093458006	0.150498	0.10068481	2
600770	200804	21	.215787847	78327.00	.558003	1.18282	-.00206	0.095042814	0.566909	0.215787847	2
000977	200804	21	.088126040	18189.00	.366742	.954616	-.08143	0.095679861	0.514193	0.08812604	2
600787	200804	21	.078178770	6544362.7	.191039	.966276	-.08359	0.09776968	0.224312	0.07817877	2
000503	200804	21	.086523366	6216853.6	.357743	1.02707	-.13542	0.098219296	0.404467	0.086523366	2
002028	200804	21	.105446037	85050.60	.097681		.058610	0.09956911	0.112714	0.105446037	2
600410	200804	20	.063189446	5238814.5	.568848	.735255	-.12434	0.101635727	0.377719	0.063189446	2
000930	200804	20	.083626724	7011268.8	.485728	.784281	-.16724	0.101981846	0.781961	0.083626724	2
000525	200804	21	.205613101	4091487.1	.457355	.971695	.020266	0.102216097	0.389096	0.205613101	2
600684	200804	21	.105334876	1819893.2	.258428	.894390	-.20766	0.103317449	0.257089	0.105334876	2
600694	200804	20	.186580965	11452090	.205884	.451899	-.11767	0.103759825	0.086625	0.186580965	3
600797	200804	18	.163966237	6975913.2	.401732	.920630	-.25521	0.104925071	0.511341	0.163966237	3
000839	200804	21	.121862959	24070800	.457474	.798975	.077138	0.105426904	0.371257	0.121862959	3
600478	200804	20	.196839918	3177715.6	.557408	1.37003	.116201	0.105495879	0.45686	0.196839918	3
600010	200804	21	.011589252	40402690	.164583	.858593	-.02025	0.107912694	0.199325	0.011589252	3
600611	200804	20	.135463695	12110491	.263429	1.51880	.098298	0.10814618	0.405445	0.135463695	3
600289	200804	19	.127961869	3880480.5	.837501	.786193	-.19181	0.110614078	0.328052	0.127961869	3
002093	200804	21	.126816442	47766.30	.466526		-.04475	0.112304528	0.388305	0.126816442	3
000917	200804	21	.095924423	7758441.1	.376727	1.23774	.118106	0.112501784	0.3474	0.095924423	3
600161	200804	20	.237665409	69591.90	.521966	1.11865	-.10917	0.113707768	0.294857	0.237665409	3
000046	200804	20	.107695288	29654416	.554367	.719347	-.30282	0.113755613	0.161612	0.107695288	3
