Trddt	ivol_lag_rank	ivol_lag	v_weight_ilag	avg_return	v_weight_return	crate	crate_lag	v_weight_crate	v_weight_crate_lag	avg_totalv
201308	1	0.0796581293	0.0806938498	0.0886162692	0.0946882257	0.4566926923	0.3735127692	0.4025876097	0.3159045338	6610091.3223
201308	2	0.1033693056	0.1044772256	0.0786196538	0.0828249212	0.4045680769	0.3615848462	0.3441676275	0.324374285	10291786.092
201308	3	0.1254716197	0.1258091353	0.0475007692	0.0254669225	0.5411957692	0.6210613846	0.4828601231	0.5793995988	7936431.605
201308	4	0.1735407292	0.1799629349	0.0702481923	0.0670509548	0.8448319231	0.9769147308	0.9039518563	1.0730941854	7067882.915
201309	0	0.033365223	0.0292968839	0.03569256	0.0173211249	0.27973512	0.2696464	0.2328787938	0.2285277563	15031745.544
201309	1	0.0652335595	0.0629821442	0.0256783462	0.023714316	0.2901198462	0.3599959231	0.2668955605	0.2873188353	7194399.4273
201309	2	0.086404687	0.0870482641	0.07857836	0.0623764277	0.4159826	0.45206392	0.3372214366	0.3537255105	8651623.1308
201309	3	0.1061260742	0.1058502788	0.0473384231	0.0648753163	0.3734728846	0.4780096538	0.3125130171	0.4015315497	9765300.4877
201309	4	0.155056129	0.1561718363	0.0623518	0.098430792	0.686763	0.9671586	0.8181336399	1.1128507491	8179480.548
201310	0	0.0309631987	0.0269345015	0.01407836	0.0623638705	0.30234964	0.26177996	0.2931792317	0.261911104	15129978.156
201310	1	0.0579022371	0.0581784886	-0.00796536	0.0018296421	0.3063712	0.31994924	0.2204406682	0.2383018321	8964194.2104
201310	2	0.0760698825	0.0760296732	-0.0469914	-0.022086444	0.43179904	0.37890988	0.3701818339	0.3350094764	6464405.2072
201310	3	0.1016403474	0.1007453516	-0.037493	0.0351100538	0.38075484	0.43715272	0.3571259366	0.3492683612	10166199.776
201310	4	0.1473545575	0.1464853463	-0.0804524	-0.074112126	0.52592092	0.6844186	0.5134763895	0.6682633416	9445915.424
201311	0	0.0301179184	0.0257946416	0.0578474167	0.0301436678	0.30059	0.27564025	0.2714045663	0.2610175634	14913314.248
201311	1	0.0592072886	0.0598404638	0.05491236	0.0531209181	0.29526584	0.26247984	0.2467268706	0.1988057917	8826166.8464
201311	2	0.079823481	0.0813505857	0.08233775	0.1439094573	0.2708435833	0.2969950833	0.2866800559	0.2685311332	8994769.5637
201311	3	0.1067326589	0.1073757663	0.07324128	0.0889131625	0.39763464	0.5244772	0.4520736068	0.5294765778	6621238.9696
201311	4	0.158390872	0.1559552594	0.0854021667	0.0401027971	0.4754599167	0.616667875	0.417066045	0.535457568	12449690.229
