Stkcd,Trdmnt,,Msmvttl,Dturn,Beta,Mretwd
证券代码,月份,,个股总市值,换手率,Beta值,考虑现金红利再投资的月个股回报率
没有单位,没有单位,,千元,没有单位,没有单位,没有单位
000039,2013 ,8 ,15374305.96,0.221384,0.904397,0.177084
000039,2013 ,9 ,16224327.69,0.380495,0.915348,0.055288
000039,2013 ,10 ,15620689.07,0.190652,0.945348,-0.037206
000039,2013 ,11 ,17727264.65,0.243311,0.955614,0.134858
000039,2013 ,12 ,18306264.95,0.295612,0.944963,0.032662
000039,2014 ,1 ,19402669.79,0.253378,0.955848,0.059892
000039,2014 ,2 ,18133796.78,0.161849,0.933683,-0.065397
000039,2014 ,3 ,18096839.31,0.139611,0.949218,-0.002038
000039,2014 ,4 ,15645327.38,0.144375,0.943534,-0.135466
000039,2014 ,5 ,15546774.14,0.070102,0.949373,-0.006299
000039,2014 ,6 ,16611094.92,0.095608,0.978783,0.066561
000039,2014 ,7 ,18215435.44,0.179361,1.006221,0.116642
000039,2014 ,8 ,17598381.39,0.140867,0.997717,-0.033875
000039,2014 ,9 ,19166344.29,0.229027,0.966955,0.082048
000039,2014 ,10 ,20967458.95,0.262744,0.938613,0.093973
000039,2014 ,11 ,22520144,0.358717,0.939691,0.074052
000039,2014 ,12 ,27190620.64,0.873907,0.909812,0.207391
000039,2015 ,1 ,23625655.76,0.355798,0.908512,-0.13111
000039,2015 ,2 ,24892646.76,0.146355,0.894654,0.053628
000060,2008 ,1 ,25653302.4,0.521305,0.888975,-0.210621
000060,2008 ,2 ,29207323.2,0.260662,0.891997,0.13854
000060,2008 ,3 ,22567300.8,0.361122,0.925404,-0.227341
000060,2008 ,4 ,21631262.4,0.474965,0.897222,-0.041478
000060,2008 ,5 ,20059010.4,0.55371,0.905401,-0.072684
000060,2008 ,6 ,14353563.84,0.361983,0.921038,-0.274864
000060,2008 ,7 ,14261422.56,0.453824,0.916267,-0.006419
000060,2008 ,8 ,10821481.44,0.208718,0.933746,-0.241206
000060,2008 ,9 ,10678150.56,0.178497,0.927123,-0.013245
000060,2008 ,10 ,6613696.32,0.175244,0.985679,-0.380633
000060,2008 ,11 ,7576060.8,0.259094,0.973552,0.145511
000060,2008 ,12 ,7985577.6,0.417004,0.969825,0.054054
000060,2009 ,1 ,10801005.6,0.423033,0.998364,0.352564
000060,2009 ,2 ,11384567.04,0.971593,0.992676,0.054028
000060,2009 ,3 ,16861854.24,1.180563,1.048855,0.481115
000060,2009 ,4 ,15950679.36,0.76886,1.072254,-0.054038
000060,2009 ,5 ,19574903.04,0.606323,1.061381,0.227214
000060,2009 ,6 ,22001290.08,0.646374,1.062918,0.123954
000060,2009 ,7 ,30918518.4,0.76077,1.093774,0.411723
000060,2009 ,8 ,21427966.56,0.692888,1.14173,-0.306954
000060,2009 ,9 ,23260554.24,0.951512,1.142401,0.085523
000060,2009 ,10 ,27294294.72,0.582575,1.156092,0.173415
000060,2009 ,11 ,27826666.56,0.507564,1.135752,0.019505
000060,2009 ,12 ,28563796.8,0.344907,1.134952,0.02649
000060,2010 ,1 ,23117223.36,0.46208,1.136427,-0.190681
000060,2010 ,2 ,23885067.36,0.204897,1.13453,0.033215
000060,2010 ,3 ,26751684.96,0.297639,1.146405,0.120017
000060,2010 ,4 ,24663149.28,0.366867,1.12208,-0.078071
000060,2010 ,5 ,23168412.96,0.479615,1.177996,-0.059388
000060,2010 ,6 ,20534196.14,0.185691,1.185589,-0.113699
000060,2010 ,7 ,24009458.09,0.271408,1.181674,0.169243
